URL,excerpt
https://github.com/NVIDIA/vid2vid,"Pytorch implementation for high-resolution (e.g., 2048x1024) photorealistic video-to-video translation. It can be used for turning semantic label maps into photo-realistic videos, synthesizing people talking from edge maps, or generating human motions from poses. The core of video-to-video translation is image-to-image translation. Some of our work in that space can be found in pix2pixHD and SPADE. "
https://github.com/albertpumarola/GANimation,"Official implementation of GANimation. In this work we introduce a novel GAN conditioning scheme based on Action Units (AU) annotations, which describe in a continuous manifold the anatomical facial movements defining a human expression. Our approach permits controlling the magnitude of activation of each AU and combine several of them. For more information please refer to the paper."
https://github.com/albertpumarola/GANimation,This code was made public to share our research for the benefit of the scientific community. Do NOT use it for immoral purposes.
https://github.com/driving-behavior/DBNet,Introduction
https://github.com/driving-behavior/DBNet,"This work is based on our research paper, which appears in CVPR 2018. We propose a large-scale dataset for driving behavior learning, namely, DBNet. You can also check our dataset webpage for a deeper introduction."
https://github.com/driving-behavior/DBNet,"In this repository, we release demo code and partial prepared data for training with only images, as well as leveraging feature maps or point clouds. The prepared data are accessible here. (More demo models and scripts are released soon!)"
https://github.com/driving-behavior/DBNet,"This baseline is run on dbnet-2018 challenge data and only nvidia_pn is tested. To measure difficult architectures comprehensively, several metrics are set, including accuracy under different thresholds, area under curve (AUC), max error (ME), mean error (AE) and mean of max errors (AME)."
https://github.com/driving-behavior/DBNet,The implementations of these metrics could be found in evaluate.py.
https://github.com/facebookresearch/Detectron/,"Detectron is Facebook AI Research's software system that implements state-of-the-art object detection algorithms, including Mask R-CNN. It is written in Python and powered by the Caffe2 deep learning framework."
https://github.com/facebookresearch/Detectron/,"At FAIR, Detectron has enabled numerous research projects, including: Feature Pyramid Networks for Object Detection, Mask R-CNN, Detecting and Recognizing Human-Object Interactions, Focal Loss for Dense Object Detection, Non-local Neural Networks, Learning to Segment Every Thing, Data Distillation: Towards Omni-Supervised Learning, DensePose: Dense Human Pose Estimation In The Wild, and Group Normalization."
https://github.com/facebookresearch/Detectron/,"The goal of Detectron is to provide a high-quality, high-performance codebase for object detection research. It is designed to be flexible in order to support rapid implementation and evaluation of novel research. Detectron includes implementations of the following object detection algorithms:"
https://github.com/facebookresearch/Detectron/,Mask R-CNN -- Marr Prize at ICCV 2017
https://github.com/facebookresearch/Detectron/,RetinaNet -- Best Student Paper Award at ICCV 2017
https://github.com/facebookresearch/Detectron/,Faster R-CNN
https://github.com/facebookresearch/Detectron/,RPN
https://github.com/facebookresearch/Detectron/,Fast R-CNN
https://github.com/facebookresearch/Detectron/,R-FCN
https://github.com/facebookresearch/Detectron/,using the following backbone network architectures:
https://github.com/facebookresearch/Detectron/,"ResNeXt{50,101,152}"
https://github.com/facebookresearch/Detectron/,"ResNet{50,101,152}"
https://github.com/facebookresearch/Detectron/,Feature Pyramid Networks (with ResNet/ResNeXt)
https://github.com/facebookresearch/Detectron/,VGG16
https://github.com/facebookresearch/Detectron/,"Additional backbone architectures may be easily implemented. For more details about these models, please see References below."
https://github.com/google/sg2im/,This is the code for the paper
https://github.com/google/sg2im/,Image Generation from Scene Graphs
https://github.com/google/sg2im/,"Justin Johnson, Agrim Gupta, Li Fei-Fei"
https://github.com/google/sg2im/,Presented at CVPR 2018
https://github.com/google/sg2im/,Please note that this is not an officially supported Google product.
https://github.com/google/sg2im/,A scene graph is a structured representation of a visual scene where nodes represent objects in the scene and edges represent relationships between objects. In this paper we present and end-to-end neural network model that inputs a scene graph and outputs an image.
https://github.com/google/sg2im/,Below we show some example scene graphs along with images generated from those scene graphs using our model. By modifying the input scene graph we can exercise fine-grained control over the objects in the generated image.
https://github.com/google/sg2im/,Model
https://github.com/google/sg2im/,"The input scene graph is processed with a graph convolution network which passes information along edges to compute embedding vectors for all objects. These vectors are used to predict bounding boxes and segmentation masks for all objects, which are combined to form a coarse scene layout. The layout is passed to a cascaded refinement network (Chen an Koltun, ICCV 2017) which generates an output image at increasing spatial scales. The model is trained adversarially against a pair of discriminator networks which ensure that output images look realistic."
