URL,excerpt
https://github.com/NVIDIA/vid2vid,Prerequisites
https://github.com/NVIDIA/vid2vid,Linux or macOS
https://github.com/NVIDIA/vid2vid,Python 3
https://github.com/NVIDIA/vid2vid,NVIDIA GPU + CUDA cuDNN
https://github.com/NVIDIA/vid2vid,PyTorch 0.4
https://github.com/NVIDIA/vid2vid,Installation
https://github.com/NVIDIA/vid2vid,Install python libraries dominate and requests.
https://github.com/NVIDIA/vid2vid,pip install dominate requests
https://github.com/NVIDIA/vid2vid,"If you plan to train with face datasets, please install dlib."
https://github.com/NVIDIA/vid2vid,pip install dlib
https://github.com/NVIDIA/vid2vid,"If you plan to train with pose datasets, please install DensePose and/or OpenPose."
https://github.com/NVIDIA/vid2vid,Clone this repo:
https://github.com/NVIDIA/vid2vid,git clone https://github.com/NVIDIA/vid2vid
https://github.com/NVIDIA/vid2vid,cd vid2vid
https://github.com/NVIDIA/vid2vid,"Docker Image If you have difficulty building the repo, a docker image can be found in the docker folder."
https://github.com/albertpumarola/GANimation,Prerequisites
https://github.com/albertpumarola/GANimation,"Install PyTorch (version 0.3.1), Torch Vision and dependencies from http://pytorch.org"
https://github.com/albertpumarola/GANimation,Install requirements.txt (pip install -r requirements.txt)
https://github.com/driving-behavior/DBNet,Requirements
https://github.com/driving-behavior/DBNet,Tensorflow 1.2.0
https://github.com/driving-behavior/DBNet,Python 2.7
https://github.com/driving-behavior/DBNet,CUDA 8.0+ (For GPU)
https://github.com/driving-behavior/DBNet,"Python Libraries: numpy, scipy and laspy"
https://github.com/driving-behavior/DBNet,"The code has been tested with Python 2.7, Tensorflow 1.2.0, CUDA 8.0 and cuDNN 5.1 on Ubuntu 14.04. But it may work on more machines (directly or through mini-modification), pull-requests or test report are well welcomed."
https://github.com/google/sg2im/,Setup
https://github.com/google/sg2im/,All code was developed and tested on Ubuntu 16.04 with Python 3.5 and PyTorch 0.4.
https://github.com/google/sg2im/,You can setup a virtual environment to run the code like this:
https://github.com/google/sg2im/,python3 -m venv env               # Create a virtual environment
https://github.com/google/sg2im/,source env/bin/activate           # Activate virtual environment
https://github.com/google/sg2im/,pip install -r requirements.txt   # Install dependencies
https://github.com/google/sg2im/,echo $PWD > env/lib/python3.5/site-packages/sg2im.pth  # Add current directory to python path
https://github.com/google/sg2im/,# Work for a while ...
https://github.com/google/sg2im/,deactivate  # Exit virtual environment
https://github.com/hezhangsprinter/DID-MDN,Prerequisites:
https://github.com/hezhangsprinter/DID-MDN,Linux
https://github.com/hezhangsprinter/DID-MDN,Python 2 or 3
https://github.com/hezhangsprinter/DID-MDN,CPU or NVIDIA GPU + CUDA CuDNN (CUDA 8.0)
https://github.com/hezhangsprinter/DID-MDN,Installation:
https://github.com/hezhangsprinter/DID-MDN,Install PyTorch and dependencies from http://pytorch.org (Ubuntu+Python2.7) (conda install pytorch torchvision -c pytorch)
https://github.com/hezhangsprinter/DID-MDN,Install Torch vision from the source. (git clone https://github.com/pytorch/vision cd vision python setup.py install)
https://github.com/hezhangsprinter/DID-MDN,"Install python package: numpy, scipy, PIL, pdb"
https://github.com/hiroharu-kato/neural_renderer,Installation
https://github.com/hiroharu-kato/neural_renderer,sudo python setup.py install
https://github.com/hszhao/ICNet,Clone the repository recursively:
https://github.com/hszhao/ICNet,git clone --recursive https://github.com/hszhao/ICNet.git
https://github.com/hszhao/ICNet,Build Caffe and matcaffe:
https://github.com/hszhao/ICNet,cd $ICNET_ROOT/PSPNet
https://github.com/hszhao/ICNet,cp Makefile.config.example Makefile.config
https://github.com/hszhao/ICNet,vim Makefile.config
https://github.com/hszhao/ICNet,make -j8 && make matcaffe
https://github.com/hszhao/ICNet,cd ..
https://github.com/imfunniee/gitfolio,Let's Install
https://github.com/imfunniee/gitfolio,Install gitfolio
https://github.com/imfunniee/gitfolio,npm i gitfolio -g
https://github.com/kenshohara/3D-ResNets-PyTorch,PyTorch
https://github.com/kenshohara/3D-ResNets-PyTorch,conda install pytorch torchvision cuda80 -c soumith
https://github.com/kenshohara/3D-ResNets-PyTorch,"FFmpeg, FFprobe"
https://github.com/kenshohara/3D-ResNets-PyTorch,wget http://johnvansickle.com/ffmpeg/releases/ffmpeg-release-64bit-static.tar.xz
https://github.com/kenshohara/3D-ResNets-PyTorch,tar xvf ffmpeg-release-64bit-static.tar.xz
https://github.com/kenshohara/3D-ResNets-PyTorch,cd ./ffmpeg-3.3.3-64bit-static/; sudo cp ffmpeg ffprobe /usr/local/bin;
https://github.com/kenshohara/3D-ResNets-PyTorch,Python 3
https://github.com/msracver/Flow-Guided-Feature-Aggregation,Requirements: Software
