,Name,Header,token
0,GPRPy, GPRPy,gprpi 
1,GPRPy, Simplemost installation,simplemost instal 
2,GPRPy, Running the software,run softwar 
3,GPRPy, Running automatically generated scripts,run automat gener script 
4,GPRPy, In case of trouble,In case troubl 
5,GPRPy, Uninstalling GPRPy,uninstal gprpi 
6,GPRPy, News,new 
7,SRN-Deblur, Scale-recurrent Network for Deep Image Deblurring,scale-recurr network deep imag deblur 
8,SRN-Deblur, Our results on real data,our result real data 
9,SRN-Deblur, Results on the testing dataset,result test dataset 
10,SRN-Deblur, More cases on real photos from previous papers:,more case real photo previou paper : 
11,SRN-Deblur, Prerequisites,prerequisit 
12,SRN-Deblur, Installation,instal 
13,SRN-Deblur, Testing,test 
14,SRN-Deblur, Evaluation,evalu 
15,SRN-Deblur, Training,train 
16,SRN-Deblur, Models,model 
17,SRN-Deblur, How to choose,how choos 
18,SRN-Deblur, Reference,refer 
19,SRN-Deblur, Contact,contact 
20,SRN-Deblur, Reference,refer 
21,sentinelsat, connect to the API,connect api 
22,sentinelsat, download single scene by known product id,download singl scene known product id 
23,sentinelsat," search by polygon, time, and Hub query keywords","search polygon , time , hub queri keyword "
24,sentinelsat, download all results from the search,download result search 
25,sentinelsat, GeoJSON FeatureCollection containing footprints and metadata of the scenes,geojson featurecollect contain footprint metadata scene 
26,sentinelsat, GeoPandas GeoDataFrame with the metadata of the scenes and the footprints as geometries,geopanda geodatafram metadata scene footprint geometri 
27,sentinelsat," Get basic information about the product: its title, file size, MD5 sum, date, footprint and","get basic inform product : titl , file size , md5 sum , date , footprint "
28,sentinelsat, its download url,download url 
29,sentinelsat, Get the product's full metadata available on the server,get product 's full metadata avail server 
30,sentinelsat, same result as query above,result queri 
31,RDN, Residual Dense Network for Image Super-Resolution,residu dens network imag super-resolut 
32,RDN, Contents,content 
33,RDN, Introduction,introduct 
34,RDN, Train,train 
35,RDN, Prepare training data ,prepar train data 
36,RDN, Begin to train,begin train 
37,RDN, Test,test 
38,RDN, Quick start,quick start 
39,RDN, The whole test pipeline,the whole test pipelin 
40,RDN, Results,result 
41,RDN, Citation,citat 
42,RDN, Acknowledgements,acknowledg 
43,Fiona," Open a file for reading. We'll call this the ""source.""",open file read . We 'll call `` sourc . '' 
44,Fiona," The file we'll write to, the ""destination"", must be initialized","the file 'll write , `` destin '' , must initi "
45,Fiona," with a coordinate system, a format driver name, and","coordin system , format driver name , "
46,Fiona, a record schema.  We can get initial values from the open,record schema . We get initi valu open 
47,Fiona, collection's ``meta`` property and then modify them as,collect 's `` meta `` properti modifi 
48,Fiona, desired.,desir . 
49,Fiona," Open an output file, using the same format driver and","open output file , use format driver "
50,Fiona, coordinate reference system as the source. The ``meta``,coordin refer system sourc . the `` meta `` 
51,Fiona, mapping fills in the keyword parameters of fiona.open().,map fill keyword paramet fiona.open ( ) . 
52,Fiona, Process only the records intersecting a box.,process record intersect box . 
53,Fiona, Get a point on the boundary of the record's,get point boundari record 's 
54,Fiona, geometry.,geometri . 
55,Fiona, Write the record out.,write record . 
56,Fiona, The destination's contents are flushed to disk and the file is,the destin 's content flush disk file 
57,Fiona, closed when its ``with`` block ends. This effectively,close `` `` block end . thi effect 
58,Fiona, executes ``dst.flush(); dst.close()``.,execut `` dst.flush ( ) ; dst.close ( ) `` . 
59,Fiona, Output:,output : 
60,Fiona," (u'coutwildrnp', 67)","( u'coutwildrnp ' , 67 ) "
61,Fiona, Output:,output : 
62,Fiona," (0, u'coutwildrnp', 67)","( 0 , u'coutwildrnp ' , 67 ) "
63,Fiona, Output:,output : 
64,Fiona, [u'bar'],[ u'bar ' ] 
65,Fiona, 1,1 
66,Fiona, Polygon,polygon 
67,Fiona," OrderedDict([(u'PERIMETER', 1.22107), (u'FEATURE2', None), (u'NAME', u'Mount Naomi Wilderness'), (u'FEATURE1', u'Wilderness'), (u'URL', u'http://www.wilderness.net/index.cfm?fuse=NWPS&sec=wildView&wname=Mount%20Naomi'), (u'AGBUR', u'FS'), (u'AREA', 0.0179264), (u'STATE_FIPS', u'49'), (u'WILDRNP020', 332), (u'STATE', u'UT')])","ordereddict ( [ ( u'perimet ' , 1.22107 ) , ( u'feature2 ' , none ) , ( u'nam ' , u'mount naomi wilder ' ) , ( u'feature1 ' , u'wild ' ) , ( u'url ' , u'http : //www.wilderness.net/index.cfm ? fuse=nwp & sec=wildview & wname=mount % 20naomi ' ) , ( u'agbur ' , u'f ' ) , ( u'area ' , 0.0179264 ) , ( u'state_fip ' , u'49 ' ) , ( u'wildrnp020 ' , 332 ) , ( u'stat ' , u'ut ' ) ] ) "
68,Fiona, Output:,output : 
69,Fiona," (0, u'coutwildrnp', 67)","( 0 , u'coutwildrnp ' , 67 ) "
70,Fiona, Output:,output : 
71,Fiona, 67,67 
