Repo,Header,Label
LibGEOS.jl-README.md,LibGEOS.jl,
LibGEOS.jl-README.md,Installation,install
Flow-Guided-Feature-Aggregation-README.md, Flow-Guided Feature Aggregation for Video Object Detection,long_title
Flow-Guided-Feature-Aggregation-README.md, Introduction,description
Flow-Guided-Feature-Aggregation-README.md, Disclaimer,
Flow-Guided-Feature-Aggregation-README.md, License,license
Flow-Guided-Feature-Aggregation-README.md, Citing Flow-Guided Feature Aggregation,citation
Flow-Guided-Feature-Aggregation-README.md, Main Results,
Flow-Guided-Feature-Aggregation-README.md, Requirements: Software,requirements
Flow-Guided-Feature-Aggregation-README.md, Requirements: Hardware,requirements
Flow-Guided-Feature-Aggregation-README.md, Installation,install
Flow-Guided-Feature-Aggregation-README.md, Demo,usage
Flow-Guided-Feature-Aggregation-README.md, Preparation for Training & Testing,
Flow-Guided-Feature-Aggregation-README.md, Usage,usage
Flow-Guided-Feature-Aggregation-README.md, Misc.,
Flow-Guided-Feature-Aggregation-README.md, FAQ,faq
empymod-README.md,"   
",
empymod-README.md,"More information
",
empymod-README.md,"Features
",
empymod-README.md,"Installation
",install
empymod-README.md,"Citation
",citation
empymod-README.md,"License information
",license
vue-devtools-README.md, vue-devtools,
vue-devtools-README.md, Installation,install
vue-devtools-README.md, Important Usage Notes,usage
vue-devtools-README.md, Open component in editor,
vue-devtools-README.md, Manual Installation,install
vue-devtools-README.md, Development,
vue-devtools-README.md, Quick Start in chrome,usage
vue-devtools-README.md, Testing as Firefox addon,
vue-devtools-README.md, Common problems and how to fix,faq
vue-devtools-README.md, License,license
pyro-ppl-pyro-README.md, Installing a stable Pyro release,install
pyro-ppl-pyro-README.md, Installing Pyro dev branch,install
pyro-ppl-pyro-README.md, Running Pyro from a Docker Container,run
pyro-ppl-pyro-README.md, Citation,citation
LapSRN-README.md, Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution (CVPR 2017),long_title
LapSRN-README.md, Table of Contents,
LapSRN-README.md, Introduction,description
LapSRN-README.md, Citation,citation
LapSRN-README.md, Requirements and Dependencies,requirements
LapSRN-README.md, Installation,install
LapSRN-README.md, Start MATLAB,
LapSRN-README.md, Test Pre-trained Models,
LapSRN-README.md, Training LapSRN,
LapSRN-README.md, Training MS-LapSRN,
LapSRN-README.md, Third-Party Implementation,
bootstrap-README.md, Table of contents,
bootstrap-README.md, Quick start,
bootstrap-README.md, Status,
bootstrap-README.md, What's included,
bootstrap-README.md, Bugs and feature requests,support
bootstrap-README.md, Documentation,documentation
bootstrap-README.md, Running documentation locally,run
bootstrap-README.md, Documentation for previous releases,documentation
bootstrap-README.md, Contributing,contribute
bootstrap-README.md, Community,
bootstrap-README.md, Versioning,
bootstrap-README.md, Creators,
bootstrap-README.md, Thanks,ack
bootstrap-README.md, Backers,ack
bootstrap-README.md, Sponsors,
bootstrap-README.md, Copyright and license,license
facebookresearch-wav2letter-README.md, wav2letter++,
facebookresearch-wav2letter-README.md, Building wav2letter++,install
facebookresearch-wav2letter-README.md, Full documentation,documentation
facebookresearch-wav2letter-README.md, Citation,citation
facebookresearch-wav2letter-README.md, Join the wav2letter community,contact
facebookresearch-wav2letter-README.md, License,license
apsg-README.md, APSG - python package for structural geologists,long_title
apsg-README.md, PyPI,
apsg-README.md, Upgrading via pip,install
apsg-README.md, Installing APSG from the source distribution,install
apsg-README.md, Conda,
apsg-README.md, Current release info,
apsg-README.md, Installing apsg,install
apsg-README.md, Master version,
apsg-README.md, Getting started,usage
apsg-README.md, Documentation,documentation
apsg-README.md, Contributing,contribute
apsg-README.md, Donate,
apsg-README.md, License,license
DCPDN-README.md, Densely Connected Pyramid Dehazing Network (CVPR'2018),long_title
DCPDN-README.md, Prerequisites:,requirements
DCPDN-README.md, Installation:,install
DCPDN-README.md, Demo using pre-trained model,usage
DCPDN-README.md, Training (Fine-tuning),
DCPDN-README.md, Testing,
DCPDN-README.md, Reproduce,
DCPDN-README.md, Dataset,
DCPDN-README.md, How to creat your own testing samples,
DCPDN-README.md, Extension,
DCPDN-README.md, Acknowledgments,ack
gempy-README.md," <p align=""left""><img src=""docs/logos/gempy1.png"" width=""300""></p>",
gempy-README.md, What is it,description
gempy-README.md, Table of Contents,
gempy-README.md, GemPy v2.0 beta release,
gempy-README.md, What is new,
gempy-README.md, Features,description
gempy-README.md, Sandbox,
gempy-README.md, Remote Geomod: From GoogleEarth to 3-D Geology,long_title
gempy-README.md, Getting Started,usage
gempy-README.md, Dependencies,requirements
gempy-README.md, Conflictive packages.,
gempy-README.md, Installation,install
gempy-README.md, PyPi ,
gempy-README.md, New in GemPy 2.0: Docker image,
gempy-README.md, Pull Docker image from DockerHub,
gempy-README.md, Manual,documentation
gempy-README.md, Windows installation guide (Jun 2019),install
gempy-README.md, Documentation,documentation
gempy-README.md, References,
sentinelsat-README.md, connect to the API,
sentinelsat-README.md, download single scene by known product id,
sentinelsat-README.md," search by polygon, time, and Hub query keywords",
sentinelsat-README.md, download all results from the search,
sentinelsat-README.md, GeoJSON FeatureCollection containing footprints and metadata of the scenes,
sentinelsat-README.md, GeoPandas GeoDataFrame with the metadata of the scenes and the footprints as geometries,
sentinelsat-README.md," Get basic information about the product: its title, file size, MD5 sum, date, footprint and",
sentinelsat-README.md, its download url,
sentinelsat-README.md, Get the product's full metadata available on the server,
sentinelsat-README.md, same result as query above,
DeepMVS-README.md, DeepMVS: Learning Multi-View Stereopsis,
DeepMVS-README.md, Requirements,requirements
DeepMVS-README.md, Instructions,usage
DeepMVS-README.md, Requirements,requirements
DeepMVS-README.md, Instructions,usage
DeepMVS-README.md, License,license
Shapely-README.md,"Shapely
",
Shapely-README.md,"Requirements
",requirements
Shapely-README.md,"Installing Shapely 1.6
",install
Shapely-README.md,"Built distributions
",
Shapely-README.md,"Source distributions
",
Shapely-README.md,"Usage
",usage
Shapely-README.md,"Integration
",
Shapely-README.md,"Development and Testing
",
Shapely-README.md,"Support
",support
nextflow-io-nextflow-README.md,Quick overview,
nextflow-io-nextflow-README.md,"Rationale
",
nextflow-io-nextflow-README.md,"Download the package
",download
nextflow-io-nextflow-README.md,"Download from Conda
",download
nextflow-io-nextflow-README.md,"Documentation
",documentation
nextflow-io-nextflow-README.md,"HPC Schedulers
",
nextflow-io-nextflow-README.md,Cloud support,
nextflow-io-nextflow-README.md,"Containers
",
nextflow-io-nextflow-README.md,"Conda environments
",install
nextflow-io-nextflow-README.md,"Environment Modules
",
nextflow-io-nextflow-README.md,"Community
",support
nextflow-io-nextflow-README.md,"Required dependencies
",requirements
nextflow-io-nextflow-README.md,"Build from source
",install
nextflow-io-nextflow-README.md,"Known compilation problems
",
nextflow-io-nextflow-README.md,"IntelliJ IDEA
",
nextflow-io-nextflow-README.md,"Contributing
",contribute
nextflow-io-nextflow-README.md,"Build servers
",
nextflow-io-nextflow-README.md,"License
",license
nextflow-io-nextflow-README.md,"Citations
",citation
nextflow-io-nextflow-README.md,"Credits
",
scikit-image-scikit-image-README.md, scikit-image: Image processing in Python,long_title
scikit-image-scikit-image-README.md, Installation from binaries,install
scikit-image-scikit-image-README.md, Installation from source,install
scikit-image-scikit-image-README.md, License (Modified BSD),license
scikit-image-scikit-image-README.md, Citation,citation
CU-Net-README.md, Overview,description
CU-Net-README.md, Prerequisites,requirements
CU-Net-README.md, Training,
CU-Net-README.md, Validation,
CU-Net-README.md, Model Options,
CU-Net-README.md, Project Page,project_page
CU-Net-README.md, Citation,citation
pyGeoPressure-README.md, pyGeoPressure -->,
pyGeoPressure-README.md, Features,description
pyGeoPressure-README.md, Installation,install
pyGeoPressure-README.md, Pore Pressure Prediction using well log data,
pyGeoPressure-README.md, Documentation,documentation
pyGeoPressure-README.md, Report Bugs,
pyGeoPressure-README.md, Suggest Enhancements,
pyGeoPressure-README.md, Submit Pull Requests,
pyGeoPressure-README.md, Support,support
pyGeoPressure-README.md, License,license
Fiona-README.md," Open a file for reading. We'll call this the ""source.""",
Fiona-README.md," The file we'll write to, the ""destination"", must be initialized",
Fiona-README.md," with a coordinate system, a format driver name, and",
Fiona-README.md, a record schema.  We can get initial values from the open,
Fiona-README.md, collection's ``meta`` property and then modify them as,
Fiona-README.md, desired.,
Fiona-README.md," Open an output file, using the same format driver and",
Fiona-README.md, coordinate reference system as the source. The ``meta``,
Fiona-README.md, mapping fills in the keyword parameters of fiona.open().,
Fiona-README.md, Process only the records intersecting a box.,
Fiona-README.md, Get a point on the boundary of the record's,
Fiona-README.md, geometry.,
Fiona-README.md, Write the record out.,
Fiona-README.md, The destination's contents are flushed to disk and the file is,
Fiona-README.md, closed when its ``with`` block ends. This effectively,
Fiona-README.md, executes ``dst.flush(); dst.close()``.,
Fiona-README.md, Output:,
Fiona-README.md," (u'coutwildrnp', 67)",
Fiona-README.md, Output:,
Fiona-README.md," (0, u'coutwildrnp', 67)",
Fiona-README.md, Output:,
Fiona-README.md, [u'bar'],
Fiona-README.md,1,
Fiona-README.md, Polygon,
Fiona-README.md," OrderedDict([(u'PERIMETER', 1.22107), (u'FEATURE2', None), (u'NAME', u'Mount Naomi Wilderness'), (u'FEATURE1', u'Wilderness'), (u'URL', u'http://www.wilderness.net/index.cfm?fuse=NWPS&sec=wildView&wname=Mount%20Naomi'), (u'AGBUR', u'FS'), (u'AREA', 0.0179264), (u'STATE_FIPS', u'49'), (u'WILDRNP020', 332), (u'STATE', u'UT')])",
Fiona-README.md, Output:,
Fiona-README.md," (0, u'coutwildrnp', 67)",
Fiona-README.md, Output:,
Fiona-README.md,67,
sg2im-README.md, sg2im,
sg2im-README.md, Model,
sg2im-README.md, Setup,install
sg2im-README.md, Pretrained Models,
sg2im-README.md, Running Models,run
