,Repo,Header,Label,Prediction
0,LibGEOS.jl-README.md,LibGEOS.jl,,
1,LibGEOS.jl-README.md,Installation,install,install
2,Flow-Guided-Feature-Aggregation-README.md, Flow-Guided Feature Aggregation for Video Object Detection,long_title,
3,Flow-Guided-Feature-Aggregation-README.md, Introduction,description,description
4,Flow-Guided-Feature-Aggregation-README.md, Disclaimer,,
5,Flow-Guided-Feature-Aggregation-README.md, License,license,license
6,Flow-Guided-Feature-Aggregation-README.md, Citing Flow-Guided Feature Aggregation,citation,citation
7,Flow-Guided-Feature-Aggregation-README.md, Main Results,,
8,Flow-Guided-Feature-Aggregation-README.md, Requirements: Software,requirements,requirements
9,Flow-Guided-Feature-Aggregation-README.md, Requirements: Hardware,requirements,requirements
10,Flow-Guided-Feature-Aggregation-README.md, Installation,install,install
11,Flow-Guided-Feature-Aggregation-README.md, Demo,usage,usage
12,Flow-Guided-Feature-Aggregation-README.md, Preparation for Training & Testing,,install
13,Flow-Guided-Feature-Aggregation-README.md, Usage,usage,usage
14,Flow-Guided-Feature-Aggregation-README.md, Misc.,,
15,Flow-Guided-Feature-Aggregation-README.md, FAQ,faq,faq
16,empymod-README.md,"   
",,
17,empymod-README.md,"More information
",,
18,empymod-README.md,"Features
",,
19,empymod-README.md,"Installation
",install,install
20,empymod-README.md,"Citation
",citation,citation
21,empymod-README.md,"License information
",license,license
22,vue-devtools-README.md, vue-devtools,,
23,vue-devtools-README.md, Installation,install,install
24,vue-devtools-README.md, Important Usage Notes,usage,usage
25,vue-devtools-README.md, Open component in editor,,
26,vue-devtools-README.md, Manual Installation,install,install
27,vue-devtools-README.md, Development,,
28,vue-devtools-README.md, Quick Start in chrome,usage,usage
29,vue-devtools-README.md, Testing as Firefox addon,,
30,vue-devtools-README.md, Common problems and how to fix,faq,faq;install
31,vue-devtools-README.md, License,license,license
32,pyro-ppl-pyro-README.md, Installing a stable Pyro release,install,install
33,pyro-ppl-pyro-README.md, Installing Pyro dev branch,install,install
34,pyro-ppl-pyro-README.md, Running Pyro from a Docker Container,run,run
35,pyro-ppl-pyro-README.md, Citation,citation,citation
36,LapSRN-README.md, Deep Laplacian Pyramid Networks for Fast and Accurate Super-Resolution (CVPR 2017),long_title,
37,LapSRN-README.md, Table of Contents,,
38,LapSRN-README.md, Introduction,description,description
39,LapSRN-README.md, Citation,citation,citation
40,LapSRN-README.md, Requirements and Dependencies,requirements,requirements
41,LapSRN-README.md, Installation,install,install
42,LapSRN-README.md, Start MATLAB,,usage
43,LapSRN-README.md, Test Pre-trained Models,,
44,LapSRN-README.md, Training LapSRN,,
45,LapSRN-README.md, Training MS-LapSRN,,
46,LapSRN-README.md, Third-Party Implementation,,
47,bootstrap-README.md, Table of contents,,
48,bootstrap-README.md, Quick start,,usage
49,bootstrap-README.md, Status,,
50,bootstrap-README.md, What's included,,
51,bootstrap-README.md, Bugs and feature requests,support,
52,bootstrap-README.md, Documentation,documentation,documentation
53,bootstrap-README.md, Running documentation locally,run,run;documentation
54,bootstrap-README.md, Documentation for previous releases,documentation,documentation
55,bootstrap-README.md, Contributing,contribute,
56,bootstrap-README.md, Community,,
57,bootstrap-README.md, Versioning,,
58,bootstrap-README.md, Creators,,
59,bootstrap-README.md, Thanks,ack,
60,bootstrap-README.md, Backers,ack,
61,bootstrap-README.md, Sponsors,,
62,bootstrap-README.md, Copyright and license,license,license
63,facebookresearch-wav2letter-README.md, wav2letter++,,
64,facebookresearch-wav2letter-README.md, Building wav2letter++,install,
65,facebookresearch-wav2letter-README.md, Full documentation,documentation,documentation
66,facebookresearch-wav2letter-README.md, Citation,citation,citation
67,facebookresearch-wav2letter-README.md, Join the wav2letter community,contact,
68,facebookresearch-wav2letter-README.md, License,license,license
69,apsg-README.md, APSG - python package for structural geologists,long_title,
70,apsg-README.md, PyPI,,
71,apsg-README.md, Upgrading via pip,install,
72,apsg-README.md, Installing APSG from the source distribution,install,install
73,apsg-README.md, Conda,,
74,apsg-README.md, Current release info,,
75,apsg-README.md, Installing apsg,install,install
76,apsg-README.md, Master version,,
77,apsg-README.md, Getting started,usage,usage
78,apsg-README.md, Documentation,documentation,documentation
79,apsg-README.md, Contributing,contribute,
80,apsg-README.md, Donate,,
81,apsg-README.md, License,license,license
82,DCPDN-README.md, Densely Connected Pyramid Dehazing Network (CVPR'2018),long_title,
83,DCPDN-README.md, Prerequisites:,requirements,requirements
84,DCPDN-README.md, Installation:,install,install
85,DCPDN-README.md, Demo using pre-trained model,usage,usage
86,DCPDN-README.md, Training (Fine-tuning),,
87,DCPDN-README.md, Testing,,
88,DCPDN-README.md, Reproduce,,
89,DCPDN-README.md, Dataset,,
90,DCPDN-README.md, How to creat your own testing samples,,
91,DCPDN-README.md, Extension,,
92,DCPDN-README.md, Acknowledgments,ack,ack
93,gempy-README.md," <p align=""left""><img src=""docs/logos/gempy1.png"" width=""300""></p>",,
94,gempy-README.md, What is it,description,
95,gempy-README.md, Table of Contents,,
96,gempy-README.md, GemPy v2.0 beta release,,
97,gempy-README.md, What is new,,
98,gempy-README.md, Features,description,
99,gempy-README.md, Sandbox,,
100,gempy-README.md, Remote Geomod: From GoogleEarth to 3-D Geology,long_title,
