sklearn Primitive - Installation,Hyperparameters,Input Data Used,Accuracy,Precision,Recall,F-measure,Pickle ID
"sklearnpipeline(TFIDFVectorizer, StochasticGradientDescent)",loss = 'log',Allen,0.9,0.92,0.9,0.91,instfsgd.p
"sklearnpipeline(TFIDFVectorizer, LogisticRegression)", - ,Allen,0.89,0.91,0.91,0.91,instflr.p
"sklearnpipeline(CountVectorizer, LogisticRegression)", - ,Allen,0.88,0.88,0.93,0.9,inscvlr.p
"sklearnpipeline(CountVectorizer, NaiveBayes)", -,Allen,0.88,0.85,0.96,0.9,inscvnb.p
"sklearnpipeline(TFIDFVectorizer, Perceptron)", -,Allen,0.86,0.86,0.9,0.88,instfper.p
"sklearnpipeline(TFIDFVectorizer, NaiveBayes)", - ,Allen,0.84,0.79,0.98,0.88,instfnb.p
"sklearnpipeline(TFIDFVectorizer, RandomForestClassifier)", -,Allen,0.84,0.9,0.81,0.85,instfrfc.p
"sklearnpipeline(TFIDFVectorizer, DecisionTreeClassifier)", -,Allen,0.81,0.87,0.78,0.82,instfdtc.p
"sklearnpipeline(TFIDFVectorizer, AdaBoostClassifier)", -,Allen,0.79,0.88,0.73,0.8,instfada.p
"sklearnpipeline(TFIDFVectorizer, XGBClassifier)", -,Allen,0.78,0.88,0.71,0.79,instfxgb.p
"sklearnpipeline(TFIDFVectorizer, BernoulliBayes)", -,Allen,0.75,0.7,0.98,0.82,instfbb.p
