URL,contributor,excerpt
https://github.com/GoogleChrome/puppeteer,Allen Mao,Installation
https://github.com/GoogleChrome/puppeteer,Allen Mao,"To use Puppeteer in your project, run:"
https://github.com/GoogleChrome/puppeteer,Allen Mao,npm i puppeteer
https://github.com/GoogleChrome/puppeteer,Allen Mao,"# or ""yarn add puppeteer"""
https://github.com/GoogleChrome/puppeteer,Allen Mao,puppeteer-core
https://github.com/GoogleChrome/puppeteer,Allen Mao,"Since version 1.7.0 we publish the puppeteer-core package, a version of Puppeteer that doesn't download Chromium by default."
https://github.com/GoogleChrome/puppeteer,Allen Mao,npm i puppeteer-core
https://github.com/GoogleChrome/puppeteer,Allen Mao,"# or ""yarn add puppeteer-core"""
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Environment
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Python Version: 3.6
https://github.com/JimmySuen/integral-human-pose,Allen Mao,OS: CentOs7 (Other Linux system is also OK)
https://github.com/JimmySuen/integral-human-pose,Allen Mao,CUDA: 9.0 (least 8.0)
https://github.com/JimmySuen/integral-human-pose,Allen Mao,PyTorch:0.4.0(see issue https://github.com/JimmySuen/integral-human-pose/issues/4)
https://github.com/JimmySuen/integral-human-pose,Allen Mao,"We recommend installing python from Anaconda, installing pytorch following guide on PyTorch according to your specific CUDA & python version. In addition, you need to install dependencies below."
https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install scipy
https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install matplotlib
https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install opencv-python
https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install easydict
https://github.com/JimmySuen/integral-human-pose,Allen Mao,pip install pyyaml
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"At the Julia prompt, run"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"julia> Pkg.add(""LibGEOS"")"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"This will install both the Julia package and GEOS shared libraries together. To just reinstall the GEOS shared libraries, run Pkg.build(""LibGEOS"")."
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,Test that LibGEOS works by runnning
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"julia> Pkg.test(""LibGEOS"")"
https://github.com/NSGeophysics/GPRPy,Allen Mao,Simplemost installation
https://github.com/NSGeophysics/GPRPy,Allen Mao,"In the following instructions, if you use Windows, use the comands python and pip. If you use Mac or Linux, use the commands python3 and pip3 instead."
https://github.com/NSGeophysics/GPRPy,Allen Mao,Download the GPRPy software from https://github.com/NSGeophysics/GPRPy/archive/master.zip.
https://github.com/NSGeophysics/GPRPy,Allen Mao,Save the file somewhere on your computer and extract the zip folder.
https://github.com/NSGeophysics/GPRPy,Allen Mao,"As an alternative, you can install git from https://git-scm.com/, then run in a command prompt:"
https://github.com/NSGeophysics/GPRPy,Allen Mao,git clone https://github.com/NSGeophysics/GPRPy.git
https://github.com/NSGeophysics/GPRPy,Allen Mao,The advantage of the latter is that you can easily update your software by running from the GPRPy folder in a command prompt:
https://github.com/NSGeophysics/GPRPy,Allen Mao,git pull origin master
https://github.com/NSGeophysics/GPRPy,Allen Mao,Install Python 3.7 for example from https://conda.io/miniconda.html
https://github.com/NSGeophysics/GPRPy,Allen Mao,"Once the installation finished, open a command prompt that can run Python"
