URL,contributor,excerpt
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Usage
https://github.com/JimmySuen/integral-human-pose,Allen Mao,"We have placed some example config files in experiments folder, and you can use them straight forward. Don't modify them unless you know exactly what it means."
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Train
https://github.com/JimmySuen/integral-human-pose,Allen Mao,"For Integral Human Pose Regression, cd to pytorch_projects/integral_human_pose"
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Integral Regression
https://github.com/JimmySuen/integral-human-pose,Allen Mao,python train.py --cfg=experiments/hm36/resnet50v1_ft/d-mh_ps-256_deconv256x3_min-int-l1_adam_bs32-4gpus_x300-270-290/lr1e-3.yaml --dataroot=../../data/
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Direct Joint Regression
https://github.com/JimmySuen/integral-human-pose,Allen Mao,python train.py --cfg=experiments/hm36/resnet50v1_ft/d-mh_ps-256_dj_l1_adam_bs32-4gpus_x140-90-120/lr1e-3.yaml --dataroot=../../data/
https://github.com/JimmySuen/integral-human-pose,Allen Mao,"For 3D pose estimation system of ECCV18 Challenge, cd to pytorch_projects/hm36_challenge"
https://github.com/JimmySuen/integral-human-pose,Allen Mao,python train.py --cfg=experiments/hm36/resnet152v1_ft/d-mh_ps-256_deconv256x3_min-int-l1_adam_bs24-4gpus_x300-270-290/lr1e-3.yaml --dataroot=../../data/
https://github.com/JimmySuen/integral-human-pose,Allen Mao,"By default, logging and model will be saved to log and output folder respectively."
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Test
https://github.com/JimmySuen/integral-human-pose,Allen Mao,To run evaluation on CHALL_H80K Val dataset
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Download model
https://github.com/JimmySuen/integral-human-pose,Allen Mao,Place it under $project_root/model/hm36_challenge
https://github.com/JimmySuen/integral-human-pose,Allen Mao,cd to $project_root/pytorch_projects/hm36_challenge
https://github.com/JimmySuen/integral-human-pose,Allen Mao,execute command below
https://github.com/JimmySuen/integral-human-pose,Allen Mao,python test.py --cfg experiments/hm36/resnet152v1_ft/d-mch_384x288_deconv256x3_min-int-l1_adam_bs12-4gpus/lr1e-4_x300-27
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"p1 = readgeom(""POLYGON((0 0,1 0,1 1,0 0))"")"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"p2 = readgeom(""POLYGON((0 0,1 0,1 1,0 1,0 0))"")"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"p3 = readgeom(""POLYGON((2 0,3 0,3 1,2 1,2 0))"")"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"g1 = buffer(p1, 0.5)"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"g2 = buffer(p2, 0.5)"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"g3 = buffer(p3, 0.5)"
https://github.com/JuliaGeo/LibGEOS.jl,Allen Mao,"polygon = LibGEOS.union(g1, g3)"
https://github.com/LMescheder/GAN_stability,Allen Mao,First download your data and put it into the ./data folder.
https://github.com/LMescheder/GAN_stability,Allen Mao,"To train a new model, first create a config script similar to the ones provided in the ./configs folder. You can then train you model using"
https://github.com/LMescheder/GAN_stability,Allen Mao,python train.py PATH_TO_CONFIG
https://github.com/LMescheder/GAN_stability,Allen Mao,"To compute the inception score for your model and generate samples, use"
https://github.com/LMescheder/GAN_stability,Allen Mao,python test.py PATH_TO_CONIFG
https://github.com/LMescheder/GAN_stability,Allen Mao,"Finally, you can create nice latent space interpolations using"
https://github.com/LMescheder/GAN_stability,Allen Mao,python interpolate.py PATH_TO_CONFIG
https://github.com/LMescheder/GAN_stability,Allen Mao,or
https://github.com/LMescheder/GAN_stability,Allen Mao,python interpolate_class.py PATH_TO_CONFIG
https://github.com/NSGeophysics/GPRPy,Allen Mao,Running the software
https://github.com/NSGeophysics/GPRPy,Allen Mao,"After installation, you can run the script from the Anaconda Prompt (or your Python-enabled prompt) by running either"
https://github.com/NSGeophysics/GPRPy,Allen Mao,gprpy
https://github.com/NSGeophysics/GPRPy,Allen Mao,python -m gprpy
https://github.com/NSGeophysics/GPRPy,Allen Mao,The first time you run GPRPy it could take a while to initialize. GPRPy will ask you if you want to run the profile [p] or WARR / CMP [c] user interface. Type
https://github.com/NSGeophysics/GPRPy,Allen Mao,p
https://github.com/NSGeophysics/GPRPy,Allen Mao,"and then enter for profile, or"
https://github.com/NSGeophysics/GPRPy,Allen Mao,c
https://github.com/NSGeophysics/GPRPy,Allen Mao,and then enter for CMP / WARR.
https://github.com/NSGeophysics/GPRPy,Allen Mao,You can also directly select one by running either
https://github.com/NSGeophysics/GPRPy,Allen Mao,gprpy p
https://github.com/NSGeophysics/GPRPy,Allen Mao,gprpy c
https://github.com/NSGeophysics/GPRPy,Allen Mao,python -m gprpy p
https://github.com/NSGeophysics/GPRPy,Allen Mao,python -m gprpy c
https://github.com/OpenGeoVis/PVGeo,Allen Mao,Now PVGeo is ready for use in your standard Python environment (2.7 or >=3.6) with all dependencies installed! Go ahead and test your install:
https://github.com/OpenGeoVis/PVGeo,Allen Mao,"python -c ""import PVGeo; print(PVGeo.__version__)"""
https://github.com/OpenGeoVis/omfvista,Allen Mao,Example Use
https://github.com/OpenGeoVis/omfvista,Allen Mao,Be sure to check out the Example Notebook that demos omfvista or our Example Gallery in the documentation! Here's an example using the sample data hosted in the OMF repository.
https://github.com/OpenGeoVis/omfvista,Allen Mao,import pyvista as pv
https://github.com/OpenGeoVis/omfvista,Allen Mao,import omfvista
https://github.com/OpenGeoVis/omfvista,Allen Mao,project = omfvista.load_project('test_file.omf')
https://github.com/OpenGeoVis/omfvista,Allen Mao,project
https://github.com/OpenGeoVis/omfvista,Allen Mao,"Once the data is loaded as a pyvista.MultiBlock dataset from omfvista, then that object can be directly used for interactive 3D visualization from PyVista:"
https://github.com/OpenGeoVis/omfvista,Allen Mao,project.plot(notebook=False)
https://github.com/OpenGeoVis/omfvista,Allen Mao,"Or an interactive scene can be created and manipulated to create a compelling figure directly in a Jupyter notebook. First, grab the elements from the project:"
https://github.com/OpenGeoVis/omfvista,Allen Mao,# Grab a few elements of interest and plot em up!
https://github.com/OpenGeoVis/omfvista,Allen Mao,vol = project['Block Model']
https://github.com/OpenGeoVis/omfvista,Allen Mao,assay = project['wolfpass_WP_assay']
https://github.com/OpenGeoVis/omfvista,Allen Mao,topo = project['Topography']
https://github.com/OpenGeoVis/omfvista,Allen Mao,dacite = project['Dacite']
https://github.com/OpenGeoVis/omfvista,Allen Mao,Then apply a filtering tool from PyVista to the volumetric data:
https://github.com/OpenGeoVis/omfvista,Allen Mao,thresher = pv.Threshold(vol)
https://github.com/OpenGeoVis/omfvista,Allen Mao,Then you can put it all in one environment!
https://github.com/OpenGeoVis/omfvista,Allen Mao,# Grab the active plotting window
